id	version	url	sha256	status
cldr-region-48.2	CLDR 48.2	https://raw.githubusercontent.com/unicode-org/cldr/release-48-2/common/validity/region.xml	e751e0eedd46b52c38f3cdb72b0fab61ac8b48e052e8b28ba74b6ac26c4c8cb1	pinned
cldr-region-mappings-48.2	CLDR 48.2	https://raw.githubusercontent.com/unicode-org/cldr/release-48-2/common/supplemental/supplementalData.xml	cd2af39aef82fdbfba4d591c87548203350538ad2318486d104b3b38b8d62f1a	pinned
cldr-subdivision-48.2	CLDR 48.2	https://raw.githubusercontent.com/unicode-org/cldr/release-48-2/common/validity/subdivision.xml	93b12c9d55938266c96d44a7ccbb66800afeef4f9dd48b0dc16edfab89833d95	pinned
cldr-subdivision-names-48.2	CLDR 48.2	https://raw.githubusercontent.com/unicode-org/cldr/release-48-2/common/subdivisions/en.xml	997a14da1144bb66f36a829db1783afe41f7529e33070afbe964bdd8e387b1d2	pinned
cldr-releases	current	https://github.com/unicode-org/cldr/releases.atom	eceecf01dca1d5000ec42abad2c45e614033e3b5b1f4d0513a355bb19384095a	pinned
iana-language-2026-06-14	Registry 2026-06-14 via x/text v0.40.0	https://raw.githubusercontent.com/golang/text/v0.40.0/internal/language/tables.go	876a73fb8b8fffd239efa592ffdf903c25757b4d17b715fc80d7aee8db2b985e	pinned
iana-language-releases	current	https://www.iana.org/assignments/language-subtag-registry/language-subtag-registry	be21e91b6851f750a7b1a687f11209d46ad5a8471d6b10a1efc8d1dac4c8a926	pinned
bcp47-rfc5646	RFC 5646	https://www.rfc-editor.org/rfc/rfc5646.txt	5d9515f053163c80e7294a84d18217dc83471acc7caa9773da2ac40deeec8228	pinned
bcp47-errata	current	https://errata.rfc-editor.org/search/?rfc_number=5646&presentation=records	8a357510f5b7b0b02a90077935af066d3732af65324ab8abcc51b2b588c650c1	pinned
iso4217-list-one-2026-01-01	2026-01-01	https://www.six-group.com/dam/download/financial-information/data-center/iso-currrency/lists/list-one.xml	838dfb991648cf36df939edd5fe3811737962b75a32252847d239cedd1e291c9	pinned
iso4217-list-three-2026-01-01	2026-01-01	https://www.six-group.com/dam/download/financial-information/data-center/iso-currrency/lists/list-three.xml	98fde2423cdb916dd59dcf5fe96222edad8fa198d865c1c83dbc464b9cc52387	pinned
iso4217-list-one-updates	reviewed 2026-09-03	https://www.six-group.com/dam/download/financial-information/data-center/iso-currrency/lists/list-one.xml	838dfb991648cf36df939edd5fe3811737962b75a32252847d239cedd1e291c9	pinned
iso4217-list-three-updates	reviewed 2026-09-03	https://www.six-group.com/dam/download/financial-information/data-center/iso-currrency/lists/list-three.xml	98fde2423cdb916dd59dcf5fe96222edad8fa198d865c1c83dbc464b9cc52387	pinned
libphonenumber-metadata	v9.0.32 via nyaruka/phonenumbers v1.8.1	https://raw.githubusercontent.com/nyaruka/phonenumbers/v1.8.1/data/metadata.xml.gz	5f819f3becbd7be4b90ffb3dbc273035e5432e9424b4dcba8d73c5a28ed2a2ee	pinned
libphonenumber-releases	current	https://github.com/google/libphonenumber/releases.atom	1893f8d4b02bab6123cbf3da25078ed90ab03001487098237d3cecdcff2532db	pinned
brick-postcode-0.5.0	0.5.0 at ead386982c31d825843e80ab86a1919eca1a1ad5	https://raw.githubusercontent.com/brick/postcode/ead386982c31d825843e80ab86a1919eca1a1ad5/composer.json	3f13da8f299f6418bf0a410d73dee6253794bee750a85ec62b5d463c87128032	pinned
brick-postcode-releases	current	https://github.com/brick/postcode/tags.atom	f7781dd3dbbd35ae54942a85ff193debe6bafeaa4ae2f9fbb8e4c8ccc634d29a	pinned
